,name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
12,P23,Successful,guided,0.0508421052631579,0.44305263157894736,0.14305263157894738,0.36305263157894735,1.932,16.836,5.436,13.796,0.012,0.4120000000000003,0.048300000000000023,0.07350312918508986,0.012,0.33600000000000024,0.06525581395348841,0.048299819292802,0.012,0.08800000000000005,0.024821917808219185,0.01124164931969658,0.012,0.18400000000000014,0.04645117845117847,0.0346794625805228,0.917184265010352,0.047619047619047616,0.022774327122153208,0.012422360248447204,0.003326205749584224,0.9387027797576621,0.014255167498218105,0.04371584699453552,0.011782032400589101,0.06995581737849779,0.8394698085419735,0.07879234167893961,0.0028993911278631487,0.040301536677297765,0.0429109886923746,0.9138880835024645,0.815325187906454,0.07919433051167052,0.39923020113564883,0.03281602356907398,0.30408463269006075,2.0,1.6708632597805622,0.514413902297645
13,P23,Successful,self-guided,0.23226666666666668,0.2652,0.19253333333333333,0.31,13.936,15.912,11.552,18.6,0.012,0.21200000000000016,0.04160000000000002,0.03321887613004518,0.012,0.1360000000000001,0.03862135922330099,0.023893825218859497,0.012,0.07200000000000004,0.024167364016736408,0.009741707220954085,0.008,0.16400000000000012,0.04720812182741119,0.03072627366646961,0.9038461538461539,0.01894374282433984,0.060849598163030996,0.016360505166475317,0.023629964806435394,0.8964303670186023,0.032931121166415285,0.04700854700854701,0.0453601108033241,0.0685595567867036,0.8344875346260388,0.05159279778393352,0.023661002366100237,0.031834803183480316,0.02903850290385029,0.9154656915465692,0.9050270244843669,0.1961932237848077,0.2266012806574775,0.05881020105943595,0.42342231898264576,2.0,1.9784166251832693,0.6500332552092786
14,P23,Training,guided,0.05610810810810811,0.37686486486486487,0.24443243243243243,0.3225945945945946,2.076,13.944,9.044,11.936,0.012,0.10000000000000006,0.028054054054054055,0.014233470158532496,0.012,0.2800000000000002,0.04997849462365595,0.03869242148239265,0.012,0.1520000000000001,0.026997014925373135,0.016779429216176367,0.012,0.20400000000000015,0.0410171821305842,0.032935786430544595,0.8574181117533719,0.030828516377649325,0.09826589595375723,0.01348747591522158,0.004591104734576757,0.9202295552367289,0.03500717360114777,0.040172166427546625,0.01592215833701902,0.06855373728438743,0.8518354710305175,0.06368863334807608,0.007372654155495978,0.03585790884718499,0.054289544235924934,0.9024798927613941,0.8730004970268652,0.02262336094524018,0.44210308690482214,0.10138763262032618,0.30688641655647664,2.0,1.787094125547608,0.618718988089298
15,P23,Training,self-guided,0.073,0.17833333333333334,0.39293333333333336,0.35573333333333335,4.38,10.7,23.576,21.344,0.012,0.1480000000000001,0.029795918367346946,0.02066214744603697,0.012,0.12800000000000009,0.02688442211055277,0.01626420395204396,0.012,0.2760000000000002,0.053099099099099135,0.0409044051362288,0.012,0.22400000000000017,0.0421818181818182,0.0322762064594584,0.8657534246575342,0.0730593607305936,0.043835616438356165,0.017351598173515982,0.0302803738317757,0.851214953271028,0.051962616822429905,0.06654205607476636,0.005599864245715255,0.017308671304938062,0.9248260648226709,0.052265399626675715,0.006184407796101949,0.04047976011994003,0.048163418290854576,0.9051724137931034,0.8687682712922935,0.04555611338196465,0.06731122560674137,0.4116858800956723,0.34421505220791515,2.0,1.7792021785294585,0.5922776455268439
16,P23,Slow,guided,0.22748936170212766,0.36425531914893616,0.17080851063829788,0.2374468085106383,10.692,17.12,8.028,11.16,0.012,0.16000000000000011,0.032108108108108116,0.020844347222579565,0.012,0.22000000000000017,0.04095693779904308,0.031073967353433596,0.012,0.1360000000000001,0.02470153846153847,0.01293962896041213,0.012,0.21600000000000016,0.03915789473684212,0.030162477836744098,0.875748502994012,0.07896706586826348,0.025823353293413173,0.019461077844311378,0.04018691588785047,0.9023364485981309,0.024065420560747664,0.033411214953271026,0.050323866467364226,0.06676631788739412,0.8380667663178873,0.04484304932735426,0.021505376344086023,0.025806451612903226,0.054838709677419356,0.8978494623655914,0.8733240785236867,0.1572232545698446,0.4749001024764946,0.0471421350359086,0.19405858644143886,2.0,1.9446847185997658,0.6841905371342673
17,P23,Slow,self-guided,0.39813333333333334,0.2196,0.017866666666666666,0.3644,23.888,13.176,1.072,21.864,0.012,0.22800000000000017,0.04647470817120625,0.03236526009029593,0.008,0.1480000000000001,0.025289827255278317,0.012853615224766886,0.012,0.1360000000000001,0.02821052631578948,0.022420805533602577,0.012,0.20000000000000015,0.04593277310924372,0.037526401035308576,0.9140847429241333,0.03902193937363926,0.002009713615809747,0.044883604086417686,0.0947176684881603,0.8418336369156041,0.004553734061930784,0.0588949605343048,0.05970149253731343,0.029850746268656716,0.8582089552238806,0.05223880597014925,0.033845590925722646,0.05122575923893158,0.002012440541529455,0.9129162092938163,0.8852920538482251,0.4489040618418574,0.07388906680830135,0.006597812946236193,0.3559011122518302,2.0,1.6437249274126973,0.5892770854800374
18,P23,Start,guided,0.42340425531914894,0.24085106382978724,0.024340425531914893,0.31140425531914895,19.9,11.32,1.144,14.636,0.012,0.22400000000000017,0.05063613231552165,0.03734731314005704,0.008,0.10400000000000006,0.02651053864168619,0.012604291170706676,0.012,0.1360000000000001,0.03466666666666667,0.03300933446187855,0.012,0.19200000000000014,0.03923860589812334,0.031580008781266135,0.9211901889827101,0.04121431443506232,0.0010052271813429834,0.0365902694008846,0.08798586572438162,0.8491166077738516,0.0021201413427561835,0.0607773851590106,0.024475524475524476,0.024475524475524476,0.8846153846153846,0.06643356643356643,0.03716862530746105,0.05875922383164799,0.006012571740912818,0.8980595791199781,0.8717253397857785,0.4994354309564421,0.08197553925481774,0.030025281139362127,0.2602890884351565,2.0,1.6742460998343023,0.5943981738462982
19,P23,Start,self-guided,0.022956521739130435,0.21713043478260868,0.27408695652173914,0.48582608695652174,1.056,9.988,12.608,22.348,0.012,0.1440000000000001,0.031058823529411767,0.02362568539493878,0.008,0.22400000000000017,0.03221935483870969,0.02671335801351005,0.008,0.17200000000000013,0.028851258581235707,0.018821292035486867,0.012,0.2800000000000002,0.06225069637883012,0.04511493947839247,0.8712121212121212,0.041666666666666664,0.03787878787878788,0.04924242424242424,0.002803364036844213,0.8758510212254705,0.0816980376451742,0.039647577092511016,0.005076142131979695,0.05520304568527919,0.8613578680203046,0.07836294416243655,0.0019692087361260296,0.022377372001432153,0.0397422126745435,0.9359112065878983,0.8695246065973147,0.00805166016438451,0.12111295449232233,0.12499883990748867,0.6153611520331191,2.0,1.6211981590392708,0.5681594559083962
20,P23,Fitness,guided,0.4215135135135135,0.15102702702702703,0.031675675675675675,0.39578378378378376,15.596,5.588,1.172,14.644,0.012,0.23200000000000018,0.052867796610169514,0.03815409630218754,0.012,0.08400000000000005,0.023677966101694918,0.009493870775607583,0.012,0.46400000000000036,0.04340740740740743,0.08410718877949486,0.012,0.22400000000000017,0.04770032573289905,0.03388063113369759,0.9243395742498076,0.02231341369581944,0.00307771223390613,0.05026929982046679,0.08661417322834646,0.8310665712240516,0.007874015748031496,0.0744452397995705,0.04452054794520548,0.02054794520547945,0.910958904109589,0.023972602739726026,0.04397705544933078,0.03878721660748429,0.0010925976509150504,0.9161431302922699,0.8633943661784007,0.37020786437433256,0.030028777703115756,0.04019847179286398,0.42295925230808834,2.0,1.624230405137841,0.5466188064313218
21,P23,Fitness,self-guided,0.4144,0.2286,0.023466666666666667,0.33353333333333335,24.864,13.716,1.408,20.012,0.012,0.23200000000000018,0.04587453874538747,0.0324584170149955,0.012,0.08800000000000005,0.025589552238805973,0.011943094355508738,0.012,0.32800000000000024,0.05214814814814818,0.07154988091907362,0.012,0.21200000000000016,0.04466964285714288,0.0355640489602053,0.9128056628056628,0.042149292149292146,0.0009652509652509653,0.04407979407979408,0.10382035578885973,0.8436862058909304,0.00379119276757072,0.04870224555263925,0.03977272727272727,0.017045454545454544,0.9232954545454546,0.019886363636363636,0.03438624550179928,0.053378648540583766,0.001599360255897641,0.9106357457017193,0.8866784579903408,0.4738143936148134,0.06396936943983626,0.034118459462507626,0.3147762354731836,2.0,1.6687555066347763,0.5850456495534594
22,P23,Your,guided,0.0287,0.0508,0.3458,0.5747,1.148,2.032,13.832,22.988,0.012,0.10800000000000007,0.03021052631578949,0.023426433444583894,0.008,0.20000000000000015,0.033311475409836075,0.028878229921463983,0.012,0.18000000000000013,0.036114882506527425,0.02269993531061929,0.012,0.34400000000000025,0.05924742268041241,0.046816714551521706,0.867595818815331,0.04878048780487805,0.05226480836236934,0.0313588850174216,0.025590551181102362,0.8799212598425197,0.031496062992125984,0.06299212598425197,0.00404975412207116,0.00607463118310674,0.8894995660977726,0.10037604859704946,0.0019140421089263965,0.004350095702105447,0.06124934748564469,0.9324865147033234,0.8917460921186566,0.01564667205851632,0.036061480618673473,0.18251319132635238,0.6575247481151144,2.0,1.3544310589811206,0.4770442211278505
23,P23,Your,self-guided,0.4486,0.199,0.0172,0.3352,26.916,11.94,1.032,20.112,0.012,0.33200000000000024,0.056665263157894774,0.04110632623465272,0.012,0.08400000000000005,0.024669421487603312,0.011239605614792154,0.012,0.1320000000000001,0.04690909090909093,0.03842691893937837,0.012,0.22800000000000017,0.04261016949152544,0.03340913147738159,0.9295481569560048,0.03210463733650416,0.0005945303210463733,0.03775267538644471,0.09112227805695143,0.83785594639866,0.002680067001675042,0.06834170854271357,0.015503875968992248,0.01937984496124031,0.9147286821705426,0.050387596899224806,0.039578361177406526,0.052307080350039774,0.001988862370723946,0.9061256961018298,0.897913059047963,0.5335293719252473,0.05521760647872739,0.025036950306485263,0.2841291303375031,2.0,1.6117037610000775,0.5556321726825223
