,name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
168,P14,Successful,guided,0.4458947368421053,0.17694736842105263,0.12189473684210526,0.25526315789473686,16.944,6.724,4.632,9.7,0.008,0.2880000000000002,0.04786440677966104,0.04687649030475896,0.008,0.10000000000000006,0.027557377049180334,0.015601623066221577,0.008,0.16000000000000011,0.02841717791411044,0.02160033399847437,0.008,0.22800000000000017,0.029846153846153856,0.026356859138915625,0.9166469893742621,0.0179456906729634,0.01038961038961039,0.05501770956316411,0.04878048780487805,0.8548483045806068,0.05829863176680547,0.0380725758477097,0.02936096718480138,0.08721934369602763,0.8592400690846287,0.024179620034542316,0.09814432989690722,0.027216494845360824,0.00865979381443299,0.865979381443299,0.5504068963067581,0.2972885570714852,0.07039153438487405,0.07184453715912438,0.11088226769127446,2.0,1.8346515912365606,0.6522383417358113
169,P14,Successful,self-guided,0.24633333333333332,0.1842,0.4550666666666667,0.1144,14.78,11.052,27.304,6.864,0.012,0.20800000000000016,0.036225490196078444,0.025181461770845858,0.012,0.23600000000000018,0.040189090909090924,0.029560057034803362,0.012,0.3920000000000003,0.06454846335697403,0.06386926578798245,0.012,0.7920000000000006,0.07542857142857146,0.13147022751229662,0.8895805142083897,0.031664411366711775,0.0749661705006766,0.0037889039242219214,0.043069127759681504,0.9004705030763662,0.043069127759681504,0.013391241404270721,0.038529153237620864,0.017579841781423966,0.9380310577204806,0.005859947260474656,0.015160349854227406,0.022157434402332362,0.015160349854227406,0.9475218658892128,0.6056751216128372,0.08427211443201126,0.040132600924684445,0.3619038063620642,0.11936659989407732,2.0,1.8221987931959507,0.49630118674628493
170,P14,Training,guided,0.19978378378378378,0.28454054054054057,0.27697297297297296,0.2387027027027027,7.392,10.528000000000002,10.248,8.832,0.012,0.18400000000000014,0.027582089552238814,0.019355395139518755,0.012,0.11600000000000008,0.029573033707865175,0.018193644797602708,0.008,0.1480000000000001,0.02870588235294118,0.019344880955421695,0.012,0.1480000000000001,0.022303030303030304,0.012650272121842188,0.8554412560909583,0.04114780725500812,0.0828370330265295,0.02057390362750406,0.023936170212765957,0.8647416413373861,0.02735562310030395,0.08396656534954407,0.06128024980483997,0.02459016393442623,0.860655737704918,0.053473848555815766,0.021739130434782608,0.09827898550724638,0.059329710144927536,0.8206521739130435,0.582543607527048,0.19424266901839735,0.08497673522581821,0.2502971711034269,0.05302703217940547,2.0,1.9864855921754125,0.8126251947060462
171,P14,Training,self-guided,0.20946666666666666,0.2673333333333333,0.32126666666666664,0.20193333333333333,12.568,16.04,19.276,12.116,0.008,0.16400000000000012,0.03197964376590332,0.02227196215181607,0.012,0.16800000000000012,0.032868852459016405,0.020603179294560486,0.008,0.46400000000000036,0.04644819277108436,0.04404271300706943,0.008,0.10000000000000006,0.02798152424942264,0.014847636664997778,0.8749204328453215,0.04964990451941439,0.05346912794398472,0.02196053469127944,0.0354203043152906,0.8785233225243203,0.025193315041157394,0.060863058119231726,0.04046482672753683,0.020751193193608634,0.9138825482465242,0.02490143183233036,0.01848794981842192,0.07659293496203368,0.04787058435127105,0.8570485308682734,0.612651968920101,0.1519393359146098,0.07516328698381464,0.3572907014572429,0.028258644564433593,2.0,1.9735604055955984,0.6819515923636634
172,P14,Slow,guided,0.25472340425531914,0.15591489361702127,0.2451063829787234,0.34425531914893615,11.972,7.327999999999999,11.52,16.18,0.016,0.2600000000000002,0.06402139037433159,0.04367208352426393,0.016,0.1480000000000001,0.05088888888888892,0.023671100262858968,0.016,0.2800000000000002,0.06295081967213119,0.03375179067316399,0.02,0.7000000000000005,0.0935260115606937,0.09346005090575459,0.9375208820581357,0.0136986301369863,0.0273972602739726,0.021383227530905446,0.030021834061135372,0.9213973799126638,0.025109170305676855,0.023471615720524017,0.022229940951719346,0.01806182702327197,0.9367836054185481,0.022924626606460576,0.016810877626699628,0.012608158220024722,0.01334981458590853,0.9572311495673671,0.6186902843027204,0.10874698424501532,0.02557044196895545,0.10240786517746889,0.3819649929112808,2.0,1.9474251499166162,0.4102141014382635
173,P14,Slow,self-guided,0.4305333333333333,0.25493333333333335,0.0836,0.23093333333333332,25.832,15.296,5.016,13.856,0.02,0.4960000000000004,0.09000696864111503,0.07076279229748993,0.02,0.33600000000000024,0.07353846153846158,0.05032756605803074,0.016,1.256000000000001,0.07165714285714288,0.14667942554274968,0.02,0.25600000000000017,0.07069387755102045,0.04346718400085979,0.9557069846678024,0.01750038717670745,0.0054204739042899176,0.02137215425120025,0.036610878661087864,0.9456066945606695,0.005753138075313808,0.01202928870292887,0.02711323763955343,0.019138755980861243,0.9441786283891547,0.009569377990430622,0.03262124711316397,0.02020785219399538,0.0037528868360277136,0.9434180138568129,0.6058325885956547,0.2616946744226278,0.1298551986878978,0.06151111988684887,0.15277159559828027,2.0,1.8137382921985656,0.35553804482793067
174,P14,Start,guided,0.39880851063829786,0.2600851063829787,0.1708936170212766,0.1702127659574468,18.744,12.224,8.032,8.0,0.008,2.3240000000000016,0.07293385214007786,0.15363810977817852,0.012,0.1400000000000001,0.03216842105263159,0.02020039219607745,0.012,0.3920000000000003,0.044871508379888285,0.046759102402648085,0.008,0.08800000000000005,0.024390243902439025,0.012082799806337268,0.9453575240128068,0.024119530416221984,0.010458911419423693,0.02006403415154749,0.03206806282722513,0.8756544502617801,0.028795811518324606,0.06348167539267016,0.027390438247011952,0.04183266932270916,0.9108565737051793,0.0199203187250996,0.052,0.0915,0.0205,0.836,0.6436248427629649,0.48781290612516826,0.05671776829744441,0.0541678856154305,0.044926282724921704,2.0,1.9046457857484713,0.5889010226322994
175,P14,Start,self-guided,0.4026086956521739,0.20217391304347826,0.16208695652173913,0.2331304347826087,18.52,9.3,7.456,10.724,0.012,0.5440000000000004,0.05431085043988273,0.05148228206032563,0.012,0.1320000000000001,0.03152542372881356,0.019621983462176956,0.012,0.08800000000000005,0.026916967509025277,0.013862018629301033,0.012,0.1320000000000001,0.028597333333333343,0.017199860257830275,0.9263498920086393,0.017278617710583154,0.010367170626349892,0.046004319654427646,0.03225806451612903,0.8731182795698925,0.060215053763440864,0.034408602150537634,0.033261802575107295,0.07188841201716738,0.8513948497854077,0.04345493562231759,0.07611940298507462,0.030223880597014925,0.0332089552238806,0.8604477611940299,0.5722593633348496,0.40073846296809,0.03238174659839629,0.025723291086800246,0.11341586268156312,2.0,1.9099864276157419,0.6593707886770543
176,P14,Fitness,guided,0.14162162162162162,0.12972972972972974,0.29102702702702704,0.4376216216216216,5.24,4.8,10.768,16.192,0.016,0.18000000000000013,0.05758241758241761,0.035141805645774765,0.016,0.17200000000000013,0.05333333333333336,0.03239753077010656,0.02,0.47600000000000037,0.09878899082568812,0.08260795809837823,0.012,0.44800000000000034,0.1164892086330936,0.07661239140400158,0.9305343511450381,0.020610687022900764,0.010687022900763359,0.03816793893129771,0.02666666666666667,0.925,0.015833333333333335,0.0325,0.010772659732540862,0.011515601783060922,0.9595096582466568,0.018202080237741457,0.007412898443291327,0.007907091672844082,0.018779342723004695,0.9659006671608599,0.8120070402086709,0.017670068260930958,0.011458123446070542,0.37390395913006724,0.40897488937160215,2.0,1.8216004687596743,0.33487475422533836
177,P14,Fitness,self-guided,0.13993333333333333,0.1892,0.2654,0.40546666666666664,8.396,11.352,15.924000000000001,24.328,0.016,0.36400000000000027,0.07774074074074078,0.05726164289993309,0.02,0.2880000000000002,0.07139622641509438,0.04950510028586469,0.012,0.35200000000000026,0.06953711790393018,0.04297592168841332,0.02,0.47600000000000037,0.10396581196581203,0.08091188957077552,0.9485469271081467,0.01810385898046689,0.014768937589328252,0.018580276322058123,0.014446793516560958,0.9439746300211417,0.020789288231148697,0.020789288231148697,0.006782215523737754,0.016578749058025623,0.942476764632002,0.034162270786234614,0.00657786548265088,0.008880118401578688,0.022858082552211806,0.9616839335635586,0.61833347930078,0.046430743675274985,0.08662812718511076,0.11343381001018317,0.37184079843021106,2.0,1.8874478898229357,0.34872906404059334
