,name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
108,P08,Successful,guided,0.3990526315789474,0.21189473684210527,0.24578947368421053,0.14326315789473684,15.164,8.052,9.34,5.444,0.012,0.3080000000000002,0.05320701754385968,0.039056988770343165,0.012,0.10800000000000007,0.034118644067796626,0.01874863587875104,0.012,0.1320000000000001,0.03384057971014493,0.020779814054213884,0.012,0.2680000000000002,0.035815789473684224,0.03648601409275523,0.9248219467159061,0.02796096016882089,0.02796096016882089,0.019256132946452124,0.060109289617486336,0.882762046696473,0.04520615996025832,0.011922503725782414,0.0569593147751606,0.037687366167023555,0.8817987152034261,0.023554603854389723,0.022794117647058822,0.030882352941176472,0.057352941176470586,0.8889705882352941,0.7951356535051948,0.48573338004412214,0.10888470667871172,0.11543925486388777,0.08507831191847312,2.0,1.9024333746591928,0.6126609780147775
109,P08,Successful,self-guided,0.15046666666666667,0.17953333333333332,0.35886666666666667,0.3111333333333333,9.028,10.772,21.532,18.668,0.012,0.11600000000000008,0.027357575757575758,0.013899183108828586,0.012,0.16000000000000011,0.032445783132530125,0.019287147235480147,0.012,0.36400000000000027,0.05492857142857146,0.04111054038336455,0.012,0.2800000000000002,0.04899737532808401,0.0418878955503381,0.8537882144439521,0.03898980948161276,0.052281789986708016,0.05494018608772707,0.034905310063126624,0.876717415521723,0.05681396212402525,0.03156331229112514,0.011334076551467856,0.029357116313638052,0.9273504273504274,0.031958379784466744,0.0374973216198843,0.018427255196057424,0.025712449110777802,0.9183629740732805,0.8100000928749607,0.040679153808036175,0.07832653899660075,0.3519088526942531,0.33908554737607066,2.0,1.9106220040633903,0.5942789850735107
110,P08,Training,guided,0.26972972972972975,0.3949189189189189,0.2953513513513514,0.04,9.98,14.611999999999998,10.928000000000003,1.48,0.012,0.12800000000000009,0.03360269360269361,0.018619449467382507,0.012,0.22800000000000017,0.05200000000000003,0.039579282117715824,0.012,0.23200000000000018,0.045157024793388456,0.03491264382120272,0.016,0.2880000000000002,0.04484848484848486,0.05865364243106811,0.8809619238476953,0.07975951903807615,0.03647294589178357,0.0028056112224448897,0.03750342184505886,0.9230769230769231,0.03750342184505886,0.0019162332329592116,0.05419260344196265,0.027096301720981326,0.9117539362870744,0.006957158549981692,0.032432432432432434,0.01891891891891892,0.03783783783783784,0.9108108108108108,0.7769552685098666,0.11774498489042363,0.3909196841711005,0.22614499684959513,0.042145602598747375,2.0,1.7446625779065559,0.5469917576762864
111,P08,Training,self-guided,0.26126666666666665,0.18306666666666666,0.2577333333333333,0.29793333333333333,15.675999999999998,10.984,15.463999999999999,17.876,0.012,0.23600000000000018,0.04556976744186048,0.03490453448841419,0.012,0.10000000000000006,0.027878172588832496,0.013330069086026283,0.012,0.2680000000000002,0.047876160990712104,0.03897872113155438,0.012,0.36000000000000026,0.04965555555555559,0.036880184716068874,0.9122225057412605,0.049757591222250576,0.015565195202857872,0.02245470783363103,0.04479242534595776,0.8565185724690458,0.04806991988346686,0.0506190823015295,0.024062095730918498,0.02483829236739974,0.9166882276843467,0.034411384217335056,0.02864175430745133,0.023047661669277242,0.028865518012978295,0.9194450660102931,0.782233878176526,0.18805940975668833,0.05898346308499284,0.2588544909164033,0.27633651441844154,2.0,1.9789609247678097,0.5931161048655785
112,P08,Slow,guided,0.4290212765957447,0.3599148936170213,0.11931914893617021,0.09174468085106383,20.164,16.916,5.608,4.312,0.012,0.20800000000000016,0.06073493975903617,0.042718350318241886,0.012,0.25200000000000017,0.043263427109974446,0.03017611846045342,0.012,0.17600000000000013,0.02861224489795919,0.01823969245011328,0.008,0.19600000000000015,0.031474452554744535,0.022801293436218437,0.934140051577068,0.05415592144415791,0.006546320174568538,0.005157706804205514,0.056054872280037846,0.9077578051087984,0.022469252601702933,0.013718070009460738,0.039229671897289584,0.06276747503566334,0.8601997146932953,0.037803138373751786,0.03710575139146568,0.026901669758812616,0.06307977736549165,0.87291280148423,0.7797553970959687,0.34101032174674606,0.3449916284621468,0.044060841085155726,0.0496926058019202,2.0,1.7365330633011624,0.541860764530427
113,P08,Slow,self-guided,0.22293333333333334,0.2858,0.26813333333333333,0.22313333333333332,13.376,17.148,16.088,13.388,0.012,0.12800000000000009,0.028889848812095043,0.015067980031290286,0.012,0.16800000000000012,0.04063507109004741,0.02471476144990586,0.012,0.22800000000000017,0.04093638676844786,0.02659465832785979,0.012,0.16000000000000011,0.039492625368731576,0.02696314164858608,0.8615430622009569,0.04694976076555024,0.049342105263157895,0.042165071770334926,0.030324236062514578,0.9015628644739911,0.04035456029857709,0.02775833916491719,0.023868722028841372,0.05420188960716062,0.9022874191944307,0.01964196916956738,0.07083084279737,0.013747758517632994,0.01643753735803945,0.8989838613269575,0.8029635249517396,0.08303437630523315,0.3113122404383356,0.25768394954760043,0.1509329586605704,2.0,1.9911840390245539,0.6480883690825614
114,P08,Start,guided,0.04519148936170213,0.2500425531914894,0.48323404255319147,0.221531914893617,2.124,11.752,22.712,10.412,0.012,0.1320000000000001,0.03034285714285715,0.020976099129577888,0.012,0.1320000000000001,0.030845144356955387,0.01836605504007507,0.012,0.3880000000000003,0.06640935672514624,0.054157629207163306,0.012,0.5920000000000004,0.05983908045977013,0.07952312951519254,0.8681732580037664,0.08662900188323917,0.030131826741996232,0.015065913370998116,0.014635806671204902,0.8703199455411845,0.08304969366916269,0.031994554118447927,0.0038746037337090526,0.043677351179992954,0.9397675237759775,0.012680521310320535,0.001921598770176787,0.0334358186010761,0.03112990007686395,0.9335126825518831,0.7522009604256444,0.025833983445341803,0.08548717726514224,0.46782179372575267,0.17305800598940765,2.0,1.6906445292607155,0.4978543125937686
115,P08,Start,self-guided,0.2786086956521739,0.2253913043478261,0.25321739130434784,0.24278260869565219,12.815999999999999,10.368,11.648,11.168,0.012,0.1360000000000001,0.04188235294117649,0.024017678994182397,0.012,0.10000000000000006,0.034445182724252496,0.017007360680758678,0.012,0.11200000000000007,0.030492146596858647,0.01592090038955435,0.012,0.18400000000000014,0.035909967845659176,0.024853880318372743,0.9044943820224719,0.033707865168539325,0.02871410736579276,0.033083645443196,0.04552469135802469,0.8838734567901234,0.03819444444444445,0.032407407407407406,0.04397114393679148,0.04534524218481621,0.8691171418756442,0.0415664720027482,0.02148997134670487,0.02184813753581662,0.0680515759312321,0.8886103151862464,0.8271875013248224,0.3970501214296125,0.15686451063097803,0.11479929968423802,0.1584735695799939,2.0,1.9957344855234123,0.6798769842163572
116,P08,Fitness,guided,0.2644324324324324,0.48562162162162165,0.21772972972972973,0.03221621621621622,9.784,17.968,8.056,1.192,0.008,0.17600000000000013,0.04009836065573773,0.02735061057731428,0.012,0.25200000000000017,0.06417142857142862,0.04642873846123804,0.012,0.20000000000000015,0.03209561752988049,0.020232680870716738,0.012,0.12000000000000008,0.03612121212121212,0.026505296870005565,0.9006134969325154,0.04294478527607362,0.047443762781186095,0.00899795501022495,0.03250222617987533,0.93766696349065,0.028495102404274265,0.0013357079252003562,0.038728897715988087,0.08341608738828203,0.8753723932472691,0.0024826216484607746,0.06711409395973154,0.020134228187919462,0.02348993288590604,0.889261744966443,0.7679045530151984,0.19047746540199828,0.4633376208981711,0.07736799665691217,0.03672147005811691,2.0,1.6520558884634826,0.5233507625744795
117,P08,Fitness,self-guided,0.19433333333333333,0.09066666666666667,0.3656,0.3494,11.66,5.44,21.936,20.964,0.008,0.09200000000000005,0.02626126126126127,0.011926359413487027,0.008,0.20400000000000015,0.040296296296296316,0.03666587354174011,0.012,0.21200000000000016,0.05350243902439028,0.03539224448464548,0.008,0.2480000000000002,0.04385774058577409,0.032553988834508565,0.8479752916952642,0.020247083047357586,0.059025394646533974,0.0727522306108442,0.04264705882352941,0.9007352941176471,0.03897058823529412,0.01764705882352941,0.019511305616338438,0.01112326768781911,0.925237053245806,0.04412837345003647,0.05323411562678878,0.0026712459454302615,0.03529860713604274,0.9087960312917382,0.7853443867883965,0.06461738073020043,0.06700670918361439,0.34116401796511775,0.31255627890946386,2.0,1.834075160719074,0.5848594551035461
118,P08,Your,guided,0.0857,0.2469,0.4318,0.2356,3.428,9.876,17.272,9.424,0.012,0.09200000000000005,0.028330578512396704,0.014331026521255445,0.012,0.22000000000000017,0.02846109510086456,0.019089824437947246,0.012,0.19600000000000015,0.050800000000000026,0.03333494898045313,0.012,0.17200000000000013,0.03666926070038912,0.02633020540318779,0.8588098016336057,0.038506417736289385,0.07584597432905485,0.026837806301050177,0.014580801944106925,0.8594572701498583,0.08302956662616444,0.04293236127987039,0.012277044243687746,0.036599490386842716,0.9214732453092426,0.02965022006022701,0.013582342954159592,0.06621392190152801,0.02928692699490662,0.8909168081494058,0.7259332131292112,0.027744460012814002,0.10218401479914922,0.438771168947621,0.15723356936962693,2.0,1.816531753769281,0.6299949115471966
119,P08,Your,self-guided,0.16813333333333333,0.2938,0.3216,0.21646666666666667,10.088,17.628,19.296,12.988,0.012,0.09600000000000006,0.026901333333333336,0.012565704578556498,0.012,0.17200000000000013,0.04590625000000003,0.028005794833763146,0.012,0.20800000000000016,0.04435862068965519,0.02913086032689149,0.012,0.16400000000000012,0.03529347826086958,0.022352433017789036,0.8513084853291039,0.046788263283108644,0.047977795400475816,0.05392545598731166,0.014298683613254653,0.9130730821606899,0.05628688152519292,0.016341352700862462,0.03067993366500829,0.026326699834162522,0.9098258706467661,0.03316749585406302,0.05050816137973514,0.04280874653526332,0.02001847859562673,0.8866646134893748,0.7903956986557525,0.045660653178529687,0.23280212019734398,0.3894124007826741,0.1225205244972048,2.0,1.9559268046082479,0.6329271389797041
