,name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
240,P18,Successful,guided,0.3393684210526316,0.3236842105263158,0.14442105263157895,0.19252631578947368,12.896,12.3,5.488,7.316,0.012,0.1520000000000001,0.03896072507552872,0.025288336601174993,0.012,0.22400000000000017,0.04489051094890512,0.030762020102080918,0.008,0.07200000000000004,0.02576525821596245,0.010588385636126688,0.012,0.1480000000000001,0.034186915887850486,0.019009162002070555,0.8973325062034739,0.04032258064516129,0.031017369727047148,0.031327543424317615,0.06536585365853659,0.9108943089430894,0.008455284552845528,0.015284552845528456,0.061269146608315096,0.04522246535375638,0.8453683442742523,0.04814004376367615,0.024603608529250958,0.0448332422088573,0.047566976489885185,0.8829961727720066,0.8088541125999149,0.4276936112695458,0.24971253826918097,0.035489720788645436,0.09595824227254267,2.0,1.9166287989878716,0.6480724563461742
241,P18,Successful,self-guided,0.38233333333333336,0.24973333333333333,0.23213333333333333,0.1358,22.94,14.984,13.928,8.148,0.012,0.21600000000000016,0.05201814058956919,0.03540090621318797,0.008,0.17200000000000013,0.04446290801186946,0.030385446029569354,0.012,0.12000000000000008,0.03061098901098902,0.015735320740362345,0.012,0.12800000000000009,0.028589473684210533,0.017404674550655065,0.9231037489102005,0.032432432432432434,0.025108979947689625,0.01935483870967742,0.024292578750667378,0.910037373198078,0.05419113721302723,0.011478910838227442,0.06004021832806665,0.032749209997127264,0.8695777075553002,0.037632864119505886,0.06921944035346098,0.017673048600883652,0.053019145802650956,0.8600883652430045,0.7727741732768748,0.4539217637772664,0.18359041561965989,0.08732092483469618,0.04794106904525235,2.0,1.9104480093345473,0.616244237307461
242,P18,Training,guided,0.24897297297297297,0.3170810810810811,0.17286486486486485,0.2610810810810811,9.212,11.732,6.396,9.66,0.012,0.12400000000000008,0.037295546558704464,0.019423411840747293,0.012,0.1440000000000001,0.03833986928104577,0.01953216331860047,0.008,0.08400000000000005,0.027217021276595754,0.011926000901818922,0.012,0.19200000000000014,0.04110638297872342,0.030336575805420256,0.892748588797221,0.06904038211029093,0.016500217108119844,0.021710811984368215,0.03818615751789976,0.8956699624957382,0.028298670303443574,0.03784520968291851,0.04002501563477173,0.060662914321450906,0.8530331457160726,0.046278924327704814,0.029411764705882353,0.020298260149130075,0.04722452361226181,0.9030654515327258,0.8146552058392743,0.1766414543604475,0.3761355994767934,0.05159824998493009,0.21027990201710325,2.0,1.968421325401037,0.6635318981967426
243,P18,Training,self-guided,0.3118,0.18846666666666667,0.19506666666666667,0.30466666666666664,18.708,11.308,11.704,18.28,0.012,0.18400000000000014,0.04350697674418607,0.026198858446183894,0.012,0.18000000000000013,0.03511801242236026,0.021858204503665667,0.012,0.08800000000000005,0.0272186046511628,0.011043408131970892,0.012,0.2880000000000002,0.04797900262467194,0.03828775672477749,0.9080607226854821,0.029506093649775498,0.023946974556339533,0.03848620910840282,0.061924982307147915,0.886411889596603,0.03043170559094126,0.021231422505307854,0.06015037593984962,0.03861927546138073,0.8530416951469583,0.04818865345181134,0.01728665207877462,0.015536105032822756,0.05054704595185996,0.9166301969365427,0.8055544165048836,0.34022122963647006,0.1456004543275649,0.06307231197786448,0.25666042056298405,2.0,1.9603578522186753,0.632676794118022
244,P18,Slow,guided,0.33982978723404256,0.22085106382978723,0.1417872340425532,0.297531914893617,15.972,10.38,6.664,13.984,0.012,0.18000000000000013,0.043879120879120895,0.026982018906710682,0.012,0.16000000000000011,0.03471571906354516,0.020021630119535304,0.012,0.07200000000000004,0.026870967741935495,0.01117670946868293,0.012,0.19600000000000015,0.044677316293929736,0.035425321215382916,0.9088404708239419,0.03806661657901327,0.017029802153769095,0.03606311044327573,0.07784200385356455,0.8847784200385357,0.01233140655105973,0.025048169556840076,0.056422569027611044,0.030012004801920768,0.851140456182473,0.062424969987995196,0.019456366237482117,0.027467811158798282,0.04234620886981402,0.9107296137339056,0.7694057873454208,0.3862070672030595,0.14082198024011378,0.03551632405861541,0.20686041584363218,2.0,1.930290170335447,0.6283670235654096
245,P18,Slow,self-guided,0.18786666666666665,0.2972666666666667,0.16146666666666668,0.3534,11.272,17.836,9.688,21.204,0.012,0.18000000000000013,0.03567088607594937,0.025959911411264355,0.012,0.16400000000000012,0.044478802992518725,0.02970461687859032,0.012,0.10800000000000007,0.026836565096952914,0.012642906909672673,0.012,0.22000000000000017,0.047756756756756794,0.034619870411646735,0.8881789137380192,0.058217962371317,0.024849130280440185,0.02875399361022364,0.02848172235927338,0.9100695223144203,0.011437542049786947,0.050011213276519396,0.04706853839801817,0.044178364987613544,0.8509496284062759,0.057803468208092484,0.014148273910582909,0.024335031126202604,0.045274476513865305,0.9162422184493492,0.7700218858360481,0.10204210362219422,0.24343564172769833,0.045071055675912824,0.3794730848102428,2.0,1.9285331320914794,0.6174992262428329
246,P18,Start,guided,0.2214468085106383,0.30757446808510636,0.20493617021276594,0.26604255319148934,10.408,14.455999999999998,9.632,12.503999999999998,0.008,0.19200000000000014,0.03469333333333335,0.020815361848617705,0.012,0.16000000000000011,0.04276923076923079,0.026427527337672608,0.012,0.09600000000000006,0.028246334310850444,0.012499302962136041,0.012,0.19600000000000015,0.0435679442508711,0.029764840533939213,0.8847040737893928,0.0568793235972329,0.02843966179861645,0.02997694081475788,0.04620918649695628,0.9064748201438849,0.021029330381848368,0.02628666297731046,0.03945182724252492,0.054817275747508304,0.8583887043189369,0.0473421926910299,0.01184,0.01856,0.06112,0.90848,0.7893877138314945,0.1916404661619743,0.31986757861659143,0.06207816986699692,0.21580149918593197,2.0,1.9816734035126027,0.6474880931420379
247,P18,Start,self-guided,0.1288695652173913,0.36469565217391303,0.18904347826086956,0.3173913043478261,5.927999999999999,16.776,8.696,14.6,0.012,0.16400000000000012,0.03549700598802396,0.026048980637128547,0.012,0.25200000000000017,0.051302752293578016,0.035219583251547,0.012,0.09200000000000005,0.027518987341772157,0.012952552907540072,0.012,0.2960000000000002,0.04520123839009291,0.03782565183241245,0.8873144399460189,0.05263157894736842,0.033063427800269905,0.02699055330634278,0.018363939899833055,0.9222513713331744,0.02241831624135464,0.03696637252563797,0.022539098436062558,0.06393744250229991,0.8546458141674333,0.05887764489420423,0.011232876712328766,0.030136986301369864,0.047123287671232875,0.9115068493150685,0.7721333940833225,0.0688852351901536,0.4051677967453629,0.05523156864273927,0.24284879350506675,2.0,1.891463484562097,0.6038164538335391
248,P18,Fitness,guided,0.20032432432432432,0.4241081081081081,0.3105945945945946,0.06497297297297297,7.412,15.692,11.492,2.404,0.012,0.32000000000000023,0.07563265306122453,0.06579147450430844,0.012,0.25200000000000017,0.05265771812080539,0.04661246366895527,0.012,0.16000000000000011,0.03636708860759495,0.023239358373237085,0.012,0.1480000000000001,0.0353529411764706,0.02644959952208906,0.9471127900701565,0.01025364274150027,0.028602266594711278,0.014031300593631947,0.006119326874043855,0.9242733299337073,0.06323304436511984,0.006374298827129016,0.016359206404455272,0.08771319178558998,0.8900104420466411,0.005917159763313609,0.04492512479201331,0.04326123128119801,0.024958402662229616,0.8868552412645591,0.7319025187859537,0.18332339494420002,0.3777805047243389,0.14043954266004158,0.030359076457373256,2.0,1.7696975565430009,0.4955703466451838
249,P18,Fitness,self-guided,0.23613333333333333,0.3154666666666667,0.18766666666666668,0.2607333333333333,14.168,18.928,11.26,15.643999999999998,0.012,0.17200000000000013,0.03871038251366122,0.0248887854431929,0.016,0.16800000000000012,0.043713625866050834,0.02799325593506708,0.008,0.11600000000000008,0.027940446650124077,0.01410054032715149,0.012,0.2640000000000002,0.047987730061349716,0.03728122074182597,0.8966685488424618,0.053924336533032184,0.02766798418972332,0.021739130434782608,0.031487743026204565,0.9084953508030431,0.02768385460693153,0.0323330515638208,0.05293072824156306,0.056483126110124335,0.8568383658969805,0.03374777975133215,0.017391304347826087,0.02122762148337596,0.044501278772378514,0.9168797953964194,0.7995074969601624,0.15963570302803168,0.376491812915503,0.05415884926467765,0.20922113175195012,2.0,1.97541764242664,0.6262242468006096
